기관코드,전체기관명,최하위기관명
C419015,세종대학교 대학본부 대외협력처,대외협력처
C419016,세종대학교 단과대학 인문과학대학,인문과학대학
C419017,세종대학교 단과대학 사회과학대학,사회과학대학
C419018,세종대학교 단과대학 경영대학,경영대학
C419019,세종대학교 단과대학 호텔관광대학,호텔관광대학
C419020,세종대학교 단과대학 자연과학대학,자연과학대학
C419021,세종대학교 단과대학 생명과학대학,생명과학대학
C419022,세종대학교 단과대학 전자정보공학대학,전자정보공학대학
C419023,세종대학교 단과대학 공과대학,공과대학
C419024,세종대학교 단과대학 예체능대학,예체능대학
C419025,세종대학교 부속기관 학술정보원,학술정보원
C419026,세종대학교 부속기관 전산정보원,전산정보원
C419027,세종대학교 부속기관 박물관,박물관
C419028,세종대학교 부속기관 천문대,천문대
C419029,세종대학교 부속기관 교수학습개발센터,교수학습개발센터
C419030,세종대학교 부속기관 학생생활상담소,학생생활상담소
C419031,세종대학교 부속기관 신문방송국,신문방송국
C419032,세종대학교 부속기관 직장예비군,직장예비군
C419033,세종대학교 부속기관 학군단,학군단
C419034,세종대학교 부속기관 보건소,보건소
C419035,세종대학교 부속기관 출판부,출판부
C419036,세종대학교 부속기관 국제어학원,국제어학원
C419037,세종대학교 총장,총장
C419038,세종대학교 대학평의원회,대학평의원회
C419039,세종대학교 교무위원회,교무위원회
C419040,세종대학교 교수회,교수회
C419041,세종대학교 감사실,감사실
C419042,세종대학교 비서실,비서실
C419043,세종대학교 부총장,부총장
C419044,세종대학교 위원회,위원회
C419046,세종대학교 대학본부 기획처 기획과,기획과
C419047,세종대학교 대학본부 기획처 예산조정과,예산조정과
C419048,세종대학교 대학본부 교무처 교무과,교무과
C419049,세종대학교 대학본부 교무처 수업과,수업과
C419050,세종대학교 대학본부 교무처 학적과,학적과
C419051,세종대학교 대학본부 입학처 입학과,입학과
C419052,세종대학교 대학본부 학생지원처 학생지원과,학생지원과
C419053,세종대학교 대학본부 학생지원처 취업지원과,취업지원과
C419054,세종대학교 대학본부 연구산학협력처 연구지원과,연구지원과
C419055,세종대학교 대학본부 연구산학협력처 산학협력과,산학협력과
C419056,세종대학교 대학본부 총무처 총무과,총무과
C419057,세종대학교 대학본부 총무처 재무과,재무과
C419058,세종대학교 대학본부 총무처 구매과,구매과
C419059,세종대학교 대학본부 관리처 건축과,건축과
C419060,세종대학교 대학본부 관리처 시설과,시설과
C419061,세종대학교 대학본부 관리처 재산관리과,재산관리과
C419062,세종대학교 대학본부 대외협력처 대외협력과,대외협력과
C419063,세종대학교 대학본부 대외협력처 홍보과,홍보과
C419064,세종대학교 대학원 대학원,대학원
C419065,세종대학교 대학원 경영전문대학원,경영전문대학원
C419066,세종대학교 대학원 정책과학대학원,정책과학대학원
C419067,세종대학교 대학원 교육대학원,교육대학원
C419068,세종대학교 대학원 관광대학원,관광대학원
C419069,세종대학교 대학원 문화예술콘텐츠대학원,문화예술콘텐츠대학원
C419070,세종대학교 대학원 공연예술대학원,공연예술대학원
C419071,세종대학교 대학원 산업대학원(eMA),산업대학원(eMA)
C419072,세종대학교 대학원 도시부동산대학원,도시부동산대학원
C419073,세종대학교 단과대학 인문과학대학 인문학부,인문학부
C419074,세종대학교 단과대학 사회과학대학 사회과학부,사회과학부
C419075,세종대학교 단과대학 경영대학 경영학부,경영학부
C419076,세종대학교 단과대학 호텔관광대학 호텔관광경영학부,호텔관광경영학부
C419077,세종대학교 단과대학 자연과학대학 수학통계학부,수학통계학부
C419078,세종대학교 단과대학 자연과학대학 물리천문학부,물리천문학부
C419079,세종대학교 단과대학 자연과학대학 화학환경학부,화학환경학부
C419080,세종대학교 단과대학 생명과학대학 식품공학부,식품공학부
C419081,세종대학교 단과대학 생명과학대학 생명공학부,생명공학부
C419082,세종대학교 단과대학 생명과학대학 분자생물학부,분자생물학부
C419083,세종대학교 단과대학 전자정보공학대학 전자정보통신공학부,전자정보통신공학부
C419084,세종대학교 단과대학 전자정보공학대학 컴퓨터공학부,컴퓨터공학부
C419085,세종대학교 단과대학 공과대학 공학교육센터,공학교육센터
C419086,세종대학교 단과대학 공과대학 건축공학부,건축공학부
C419087,세종대학교 단과대학 공과대학 토목환경지구정보공학부,토목환경지구정보공학부
C419088,세종대학교 단과대학 공과대학 기계항공우주공학부,기계항공우주공학부
C419089,세종대학교 단과대학 공과대학 나노신소재공학부,나노신소재공학부
C419090,세종대학교 단과대학 예체능대학 회화과,회화과
C419091,세종대학교 단과대학 예체능대학 산업디자인학과,산업디자인학과
C419092,세종대학교 단과대학 예체능대학 패션디자인학과,패션디자인학과
C419093,세종대학교 단과대학 예체능대학 음악과,음악과
C419094,세종대학교 단과대학 예체능대학 체육학과,체육학과
C419095,세종대학교 단과대학 예체능대학 무용과,무용과
C419096,세종대학교 단과대학 예체능대학 만화애니메이션학과,만화애니메이션학과
C419097,세종대학교 단과대학 예체능대학 영화예술학과,영화예술학과
C419098,세종대학교 단과대학 교양학부,교양학부
C419099,세종대학교 부속기관 학술정보원 정보처리과,정보처리과
C419100,세종대학교 부속기관 학술정보원 정보운영과,정보운영과
C419101,세종대학교 부속기관 학술정보원 전자정보과,전자정보과
C419102,세종대학교 부속기관 전산정보원 전산개발과,전산개발과
C419103,세종대학교 부속기관 전산정보원 전산운영과,전산운영과
C419104,세종대학교 부속기관 박물관 관리과,관리과
C419105,세종대학교 부속기관 신문방송국 학보사,학보사
C419106,세종대학교 부속기관 신문방송국 영자신문사,영자신문사
C419107,세종대학교 부속기관 신문방송국 방송국,방송국
C419108,세종대학교 단과대학 인문과학대학 인문학부 국어국문학전공,국어국문학전공
C419109,세종대학교 단과대학 인문과학대학 인문학부 영어영문학전공,영어영문학전공
C419110,세종대학교 단과대학 인문과학대학 인문학부 일어일문학전공,일어일문학전공
C419111,세종대학교 단과대학 인문과학대학 인문학부 역사학전공,역사학전공
C419112,세종대학교 단과대학 인문과학대학 인문학부 교육학전공,교육학전공
C419113,세종대학교 단과대학 사회과학대학 사회과학부 경제통상학전공,경제통상학전공
C419115,세종대학교 단과대학 사회과학대학 사회과학부 신문방송학전공,신문방송학전공
C419116,세종대학교 단과대학 사회과학대학 사회과학부 행정학전공,행정학전공
C419117,세종대학교 단과대학 사회과학대학 사회과학부 중국학전공,중국학전공
C419118,세종대학교 단과대학 경영대학 경영학부 경영학전공,경영학전공
C419119,세종대학교 단과대학 호텔관광대학 호텔관광경영학부 호텔경영전공,호텔경영전공
C419120,세종대학교 단과대학 호텔관광대학 호텔관광경영학부 관광경영전공,관광경영전공
C419121,세종대학교 단과대학 호텔관광대학 호텔관광경영학부 외식경영전공,외식경영전공
C419122,세종대학교 단과대학 자연과학대학 수학통계학부 수학전공,수학전공
C419123,세종대학교 단과대학 자연과학대학 수학통계학부 응용통계학전공,응용통계학전공
C419124,세종대학교 단과대학 자연과학대학 물리천문학부 물리학전공,물리학전공
C419125,세종대학교 단과대학 자연과학대학 물리천문학부 천문우주학전공,천문우주학전공
C419126,세종대학교 단과대학 자연과학대학 화학환경학부 화학전공,화학전공
C419127,세종대학교 단과대학 자연과학대학 화학환경학부 지구환경과학전공,지구환경과학전공
C419128,세종대학교 단과대학 생명과학대학 식품공학부 식품공학전공,식품공학전공
C419129,세종대학교 단과대학 생명과학대학 생명공학부 생명공학전공,생명공학전공
C419130,세종대학교 단과대학 생명과학대학 분자생물학부 분자생물학전공,분자생물학전공
C419131,세종대학교 단과대학 전자정보공학대학 전자정보통신공학부 전자공학전공,전자공학전공
C419132,세종대학교 단과대학 전자정보공학대학 전자정보통신공학부 정보통신공학전공,정보통신공학전공
C419133,세종대학교 단과대학 전자정보공학대학 전자정보통신공학부 광전자공학전공,광전자공학전공
C419134,세종대학교 단과대학 전자정보공학대학 컴퓨터공학부 컴퓨터공학전공,컴퓨터공학전공
C419135,세종대학교 단과대학 전자정보공학대학 컴퓨터공학부 디지털콘텐츠전공,디지털콘텐츠전공
C419136,세종대학교 단과대학 공과대학 건축공학부 건축공학전공,건축공학전공
C419137,세종대학교 단과대학 공과대학 건축공학부 건축학전공,건축학전공
C419138,세종대학교 단과대학 공과대학 토목환경지구정보공학부 토목환경공학전공,토목환경공학전공
C419139,세종대학교 단과대학 공과대학 토목환경지구정보공학부 지구정보공학전공,지구정보공학전공
C419140,세종대학교 단과대학 공과대학 기계항공우주공학부 기계공학전공,기계공학전공
C419141,세종대학교 단과대학 공과대학 기계항공우주공학부 항공우주공학전공,항공우주공학전공
C419142,세종대학교 단과대학 공과대학 나노신소재공학부 신소재공학전공,신소재공학전공
C419143,세종대학교 단과대학 공과대학 나노신소재공학부 나노공학전공,나노공학전공
C424000,동국대학교 생명과학대학,생명과학대학
C429000,고신대학교 산학협력단,산학협력단
C434000,홍익대학교 건축대학,건축대학
C434001,홍익대학교 법과대학,법과대학
C434002,홍익대학교 연구소 전기설비연구센터,전기설비연구센터
C434003,홍익대학교 예비군연대본부,예비군연대본부
C454000,경성대학교 직속기관,직속기관
C454001,경성대학교 대학본부,대학본부
C454003,경성대학교 직속기관 산학협력단,산학협력단
C454005,경성대학교 대학본부 교육연구처,교육연구처
C454006,경성대학교 대학본부 학생지원처,학생지원처
C454007,경성대학교 대학본부 기획조정처,기획조정처
C454008,경성대학교 대학본부 입학홍보처,입학홍보처
C454009,경성대학교 대학본부 대외협력처,대외협력처
C454010,경성대학교 대학본부 행정지원처,행정지원처
C454011,경성대학교 대학,대학
C454012,경성대학교 부속기관,부속기관
C454013,경성대학교 부설연구소,부설연구소
C454014,경성대학교 기타기관,기타기관
C454016,경성대학교 직속기관 산학협력단 중소기업산학협력센터,중소기업산학협력센터
C454017,경성대학교 직속기관 산학협력단 창업보육센터,창업보육센터
C454018,경성대학교 대학본부 교육연구처 학사관리팀,학사관리팀
C454019,경성대학교 대학본부 교육연구처 교원지원팀,교원지원팀
C454020,경성대학교 대학본부 교육연구처 학생서비스센터,학생서비스센터
C454021,경성대학교 대학본부 교육연구처 교직부,교직부
C454025,경성대학교 대학본부 학생지원처 학생지원팀,학생지원팀
C454026,경성대학교 대학본부 학생지원처 후생복지팀,후생복지팀
C454027,경성대학교 대학본부 학생지원처 누리생활관,누리생활관
C454028,경성대학교 대학본부 학생지원처 체육부,체육부
C454029,경성대학교 대학본부 학생지원처 보건진료소,보건진료소
C454030,경성대학교 대학본부 기획조정처 전략기획팀,전략기획팀
C454031,경성대학교 대학본부 기획조정처 기획예산팀,기획예산팀
