기관코드,전체기관명,최하위기관명
1000000,대학,대학
7000055,강원대학교,강원대학교
7000067,강원대학교 사무국,사무국
7000068,강원대학교 사무국 총무과,총무과
7000071,강원대학교 경영대학,경영대학
7000073,강원대학교 공과대학,공과대학
7000077,강원대학교 농업생명과학대학,농업생명과학대학
7000079,강원대학교 법과대학,법과대학
7000081,강원대학교 사범대학,사범대학
7000083,강원대학교 사회과학대학,사회과학대학
7000085,강원대학교 약학대학,약학대학
7000089,강원대학교 인문대학,인문대학
7000094,강원대학교 자연과학대학,자연과학대학
7000098,강원대학교 대학원,대학원
7000101,강원대학교 교육대학원,교육대학원
7000102,강원대학교 산업대학원,산업대학원
7000113,강원대학교 연구소,연구소
7000126,경북대학교,경북대학교
7000127,경북대학교 교무처,교무처
7000131,경북대학교 학생처,학생처
7000132,경북대학교 학생처 학생과,학생과
7000138,경북대학교 사무국,사무국
7000139,경북대학교 사무국 총무과,총무과
7000141,경북대학교 사무국 시설과,시설과
7000142,경북대학교 경상대학,경상대학
7000144,경북대학교 공과대학,공과대학
7000155,경북대학교 사범대학,사범대학
7000156,경북대학교 사범대학 행정실,행정실
7000157,경북대학교 사회과학대학,사회과학대학
7000159,경북대학교 생활과학대학,생활과학대학
7000160,경북대학교 생활과학대학 행정실,행정실
7000161,경북대학교 수의과대학,수의과대학
7000162,경북대학교 수의과대학 행정실,행정실
7000164,경북대학교 예술대학,예술대학
7000165,경북대학교 예술대학 행정실,행정실
7000168,경북대학교 인문대학,인문대학
7000171,경북대학교 자연과학대학,자연과학대학
7000172,경북대학교 자연과학대학 행정실,행정실
7000175,경북대학교 대학원,대학원
7000176,경북대학교 대학원 행정실,행정실
7000177,경북대학교 경영대학원,경영대학원
7000178,경북대학교 교육대학원,교육대학원
7000179,경북대학교 농업개발대학원,농업개발대학원
7000180,경북대학교 보건대학원,보건대학원
7000181,경북대학교 산업대학원,산업대학원
7000182,경북대학교 행정대학원,행정대학원
7000183,경북대학교 도서관,도서관
7000186,경북대학교 도서관 열람과,열람과
7000187,경북대학교 박물관,박물관
7000190,경북대학교 공동실험실습관,공동실험실습관
7000191,경북대학교 보건진료소,보건진료소
7000196,경북대학교 과학교육연구소,과학교육연구소
7000198,경북대학교 기초과학연구소,기초과학연구소
7000200,경북대학교 퇴계연구소,퇴계연구소
7000201,경북대학교 평화문제연구소,평화문제연구소
7000202,경북대학교 지역개발연구소,지역개발연구소
7000203,경북대학교 경제경영연구소,경제경영연구소
7000205,경북대학교 산업기술연구소,산업기술연구소
7000206,경북대학교 농업과학기술연구소,농업과학기술연구소
7000215,경상대학교,경상대학교
7000216,경상대학교 교무처,교무처
7000217,경상대학교 교무처 교무과,교무과
7000227,경상대학교 사무국,사무국
7000228,경상대학교 사무국 총무과,총무과
7000230,경상대학교 사무국 시설과,시설과
7000231,경상대학교 경영대학,경영대학
7000232,경상대학교 경영대학 행정실,행정실
7000233,경상대학교 공과대학,공과대학
7000234,경상대학교 공과대학 행정실,행정실
7000238,경상대학교 법과대학,법과대학
7000239,경상대학교 법과대학 행정실,행정실
7000240,경상대학교 사범대학,사범대학
7000241,경상대학교 사범대학 행정실,행정실
7000242,경상대학교 사회과학대학,사회과학대학
7000243,경상대학교 사회과학대학 행정실,행정실
7000247,경상대학교 수의과대학,수의과대학
7000248,경상대학교 수의과대학 행정실,행정실
7000252,경상대학교 인문대학,인문대학
7000253,경상대학교 인문대학 행정실,행정실
7000254,경상대학교 자연과학대학,자연과학대학
7000255,경상대학교 자연과학대학 행정실,행정실
7000256,경상대학교 대학원,대학원
7000257,경상대학교 대학원 행정실,행정실
7000259,경상대학교 교육대학원,교육대학원
7000260,경상대학교 도서관,도서관
7000264,경상대학교 박물관,박물관
7000267,경상대학교 공동실험실습관,공동실험실습관
7000268,경상대학교 보건진료소,보건진료소
7000269,경상대학교 연구소,연구소
7000276,경상대학교 기초과학연구소,기초과학연구소
7000278,경상대학교 식물분자생물학및유전자조작연구소,식물분자생물학및유전자조작연구소
7000283,공주대학교,공주대학교
7000284,공주대학교 교무처,교무처
7000285,공주대학교 교무처 교무과,교무과
7000295,공주대학교 사무국,사무국
7000296,공주대학교 사무국 총무과,총무과
7000298,공주대학교 사무국 시설과,시설과
7000299,공주대학교 공과대학,공과대학
7000300,공주대학교 공과대학 행정실,행정실
7000301,공주대학교 사범대학,사범대학
7000302,공주대학교 사범대학 행정실,행정실
7000303,공주대학교 산업과학대학,산업과학대학
7000304,공주대학교 산업과학대학 행정실,행정실
7000306,공주대학교 산업과학대학 부속연습림,부속연습림
7000311,공주대학교 인문사회과학대학,인문사회과학대학
7000312,공주대학교 인문사회과학대학 행정실,행정실
7000313,공주대학교 자연과학대학,자연과학대학
7000314,공주대학교 자연과학대학 행정실,행정실
7000315,공주대학교 대학원,대학원
7000316,공주대학교 대학원 행정실,행정실
7000317,공주대학교 교육대학원,교육대학원
7000319,공주대학교 도서관,도서관
7000323,공주대학교 박물관,박물관
7000327,공주대학교 보건진료소,보건진료소
7000329,군산대학교,군산대학교
7000330,군산대학교 교무처,교무처
7000331,군산대학교 교무처 교무과,교무과
7000334,군산대학교 학생처,학생처
7000341,군산대학교 사무국,사무국
7000342,군산대학교 사무국 총무과,총무과
7000344,군산대학교 사무국 시설과,시설과
7000345,군산대학교 공과대학,공과대학
7000349,군산대학교 사회과학대학,사회과학대학
7000352,군산대학교 예술대학,예술대학
7000356,군산대학교 인문대학,인문대학
7000359,군산대학교 자연과학대학,자연과학대학
7000364,군산대학교 대학원,대학원
7000366,군산대학교 경영행정대학원,경영행정대학원
7000367,군산대학교 산업대학원,산업대학원
7000368,군산대학교 도서관,도서관
7000372,군산대학교 박물관,박물관
7000374,군산대학교 기숙사,기숙사
7000377,금오공과대학교,금오공과대학교
7000381,금오공과대학교 대학원,대학원
7000384,금오공과대학교 산업대학원,산업대학원
7000387,금오공과대학교 도서관,도서관
7000392,목포대학교,목포대학교
7000404,목포대학교 사무국,사무국
7000405,목포대학교 사무국 총무과,총무과
7000406,목포대학교 사무국 경리과,경리과
7000407,목포대학교 사무국 시설과,시설과
7000431,목포대학교 도서관,도서관
7000435,목포대학교 박물관,박물관
7000452,목포해양대학교,목포해양대학교
7000457,목포해양대학교 도서관,도서관
7000459,목포해양대학교 기관공장,기관공장
7000460,목포해양대학교 승선생활관,승선생활관
7000461,목포해양대학교 실습선,실습선
7000463,부산대학교,부산대학교
7000475,부산대학교 사무국,사무국
7000476,부산대학교 사무국 총무과,총무과
7000478,부산대학교 사무국 시설과,시설과
7000481,부산대학교 공과대학,공과대학
7000485,부산대학교 법과대학,법과대학
7000488,부산대학교 사범대학,사범대학
7000490,부산대학교 사회과학대학,사회과학대학
7000492,부산대학교 상과대학,상과대학
7000494,부산대학교 약학대학,약학대학
7000496,부산대학교 예술대학,예술대학
7000500,부산대학교 인문대학,인문대학
7000502,부산대학교 자연과학대학,자연과학대학
7000506,부산대학교 대학원,대학원
7000508,부산대학교 경영대학원,경영대학원
7000509,부산대학교 교육대학원,교육대학원
7000510,부산대학교 산업대학원,산업대학원
7000511,부산대학교 행정대학원,행정대학원
7000512,부산대학교 환경대학원,환경대학원
7000514,부산대학교 도서관,도서관
7000519,부산대학교 박물관,박물관
7000705,순천대학교,순천대학교
7000706,순천대학교 교무처,교무처
7000707,순천대학교 교무처 교무과,교무과
7000710,순천대학교 학생처,학생처
7000717,순천대학교 사무국,사무국
7000718,순천대학교 사무국 총무과,총무과
7000719,순천대학교 사무국 경리과,경리과
7000720,순천대학교 사무국 시설과,시설과
7000721,순천대학교 공과대학,공과대학
7000722,순천대학교 공과대학 행정실,행정실
7000730,순천대학교 사범대학,사범대학
7000731,순천대학교 사범대학 행정실,행정실
7000738,순천대학교 대학원,대학원
7000739,순천대학교 대학원 행정실,행정실
7000740,순천대학교 교육대학원,교육대학원
7000741,순천대학교 산업대학원,산업대학원
7000746,순천대학교 박물관,박물관
7000748,순천대학교 언론사,언론사
7000751,안동대학교,안동대학교
7000752,안동대학교 교무처,교무처
7000753,안동대학교 교무처 교무과,교무과
7000786,안동대학교 교육대학원,교육대학원
7000787,안동대학교 행정경영대학원,행정경영대학원
7000788,안동대학교 도서관,도서관
7000792,안동대학교 박물관,박물관
7000830,전남대학교,전남대학교
7000903,전북대학교,전북대학교
7000915,전북대학교 사무국,사무국
7000916,전북대학교 사무국 총무과,총무과
7000919,전북대학교 공과대학,공과대학
7000920,전북대학교 공과대학 행정실,행정실
7000925,전북대학교 법과대학,법과대학
7000926,전북대학교 법과대학 행정실,행정실
7000927,전북대학교 사범대학,사범대학
7000928,전북대학교 사범대학 행정실,행정실
7000929,전북대학교 사회과학대학,사회과학대학
7000930,전북대학교 사회과학대학 행정실,행정실
7000931,전북대학교 상과대학,상과대학
7000932,전북대학교 상과대학 행정실,행정실
7000933,전북대학교 생활과학대학,생활과학대학
7000934,전북대학교 생활과학대학 행정실,행정실
7000935,전북대학교 수의과대학,수의과대학
7000936,전북대학교 수의과대학 행정실,행정실
7000937,전북대학교 예술대학,예술대학
7000938,전북대학교 예술대학 행정실,행정실
7000939,전북대학교 의과대학,의과대학
7000940,전북대학교 의과대학 행정실,행정실
7000943,전북대학교 자연과학대학,자연과학대학
7000944,전북대학교 자연과학대학 행정실,행정실
7000945,전북대학교 치과대학,치과대학
7000946,전북대학교 치과대학 행정실,행정실
7000949,전북대학교 경영대학원,경영대학원
7000950,전북대학교 교육대학원,교육대학원
7000952,전북대학교 산업기술대학원,산업기술대학원
7000954,전북대학교 정보과학대학원,정보과학대학원
7000955,전북대학교 행정대학원,행정대학원
7000956,전북대학교 환경대학원,환경대학원
7000961,전북대학교 박물관,박물관
7000964,전북대학교 공동실험실습관,공동실험실습관
7000965,전북대학교 보건진료소,보건진료소
7000966,전북대학교 연구소,연구소
7000967,전북대학교 학생생활연구소,학생생활연구소
7000969,전북대학교 반도체물성연구소,반도체물성연구소
7000974,제주대학교,제주대학교
7000975,제주대학교 교무처,교무처
7000979,제주대학교 학생처,학생처
7000986,제주대학교 사무국,사무국
7000987,제주대학교 사무국 총무과,총무과
7000989,제주대학교 사무국 시설과,시설과
7000990,제주대학교 경상대학,경상대학
7000991,제주대학교 경상대학 행정실,행정실
7000992,제주대학교 공과대학,공과대학
7000993,제주대학교 공과대학 행정실,행정실
7001004,제주대학교 법정대학,법정대학
7001005,제주대학교 법정대학 행정실,행정실
7001006,제주대학교 사범대학,사범대학
7001007,제주대학교 사범대학 행정실,행정실
7001015,제주대학교 인문대학,인문대학
7001016,제주대학교 인문대학 행정실,행정실
7001017,제주대학교 자연과학대학,자연과학대학
7001018,제주대학교 자연과학대학 행정실,행정실
7001021,제주대학교 해양과학대학,해양과학대학
7001022,제주대학교 해양과학대학 행정실,행정실
7001024,제주대학교 의과대학,의과대학
7001025,제주대학교 의과대학 행정실,행정실
7001026,제주대학교 대학원,대학원
7001027,제주대학교 대학원 행정실,행정실
7001028,제주대학교 경영대학원,경영대학원
7001029,제주대학교 교육대학원,교육대학원
7001030,제주대학교 행정대학원,행정대학원
7001031,제주대학교 산업대학원,산업대학원
7001032,제주대학교 도서관,도서관
7001036,제주대학교 박물관,박물관
7001040,제주대학교 공동실험실습관,공동실험실습관
7001046,제주대학교 예비군연대,예비군연대
7001047,제주대학교 연구소,연구소
7001049,제주대학교 탐라문화연구소,탐라문화연구소
7001064,제주대학교 아열대원예산업연구센터,아열대원예산업연구센터
7001066,창원대학교,창원대학교
7001067,창원대학교 교무처,교무처
7001071,창원대학교 학생처,학생처
7001081,창원대학교 공과대학,공과대학
7001082,창원대학교 공과대학 행정실,행정실
7001083,창원대학교 사회과학대학,사회과학대학
7001084,창원대학교 사회과학대학 행정실,행정실
7001085,창원대학교 예술대학,예술대학
7001086,창원대학교 예술대학 행정실,행정실
7001087,창원대학교 인문대학,인문대학
7001088,창원대학교 인문대학 행정실,행정실
7001089,창원대학교 자연과학대학,자연과학대학
7001090,창원대학교 자연과학대학 행정실,행정실
7001094,창원대학교 교육대학원,교육대학원
7001096,창원대학교 도서관,도서관
7001100,창원대학교 박물관,박물관
7001105,충남대학교,충남대학교
7001117,충남대학교 사무국,사무국
7001118,충남대학교 사무국 총무과,총무과
7001122,충남대학교 경상대학,경상대학
7001123,충남대학교 공과대학,공과대학
7001129,충남대학교 법과대학,법과대학
7001130,충남대학교 사회과학대학,사회과학대학
7001131,충남대학교 수의과대학,수의과대학
7001132,충남대학교 약학대학,약학대학
7001133,충남대학교 예술대학,예술대학
7001134,충남대학교 의과대학,의과대학
7001136,충남대학교 자연과학대학,자연과학대학
7001137,충남대학교 대학원,대학원
7001138,충남대학교 경영대학원,경영대학원
7001139,충남대학교 교육대학원,교육대학원
7001141,충남대학교 산업대학원,산업대학원
7001142,충남대학교 행정대학원,행정대학원
7001143,충남대학교 도서관,도서관
7001144,충남대학교 박물관,박물관
7001148,충남대학교 보건진료소,보건진료소
7001149,충남대학교 연구소,연구소
7001150,충남대학교 학생생활연구소,학생생활연구소
7001152,충남대학교 지역개발연구소,지역개발연구소
7001154,충남대학교 생물공학연구소,생물공학연구소
7001155,충남대학교 백제연구소,백제연구소
7001157,충남대학교 급속응고신소재연구소,급속응고신소재연구소
7001158,충남대학교 암공동연구소,암공동연구소
7001159,충남대학교 산업기술연구소,산업기술연구소
7001161,충북대학교,충북대학교
7001173,충북대학교 사무국,사무국
7001174,충북대학교 사무국 총무과,총무과
7001175,충북대학교 사무국 경리과,경리과
7001176,충북대학교 사무국 시설과,시설과
7001177,충북대학교 경영대학,경영대학
7001178,충북대학교 공과대학,공과대학
7001181,충북대학교 사범대학,사범대학
7001182,충북대학교 사회과학대학,사회과학대학
7001183,충북대학교 생활과학대학,생활과학대학
7001184,충북대학교 수의과대학,수의과대학
7001185,충북대학교 약학대학,약학대학
7001186,충북대학교 의과대학,의과대학
7001187,충북대학교 인문대학,인문대학
7001188,충북대학교 자연과학대학,자연과학대학
7001189,충북대학교 대학원,대학원
7001192,충북대학교 교육대학원,교육대학원
7001193,충북대학교 산업대학원,산업대학원
7001194,충북대학교 행정대학원,행정대학원
7001195,충북대학교 도서관,도서관
7001199,충북대학교 박물관,박물관
7001206,충북대학교 기초과학연구소,기초과학연구소
7001207,충북대학교 건설기술연구소,건설기술연구소
7001209,충북대학교 산업과학기술연구소,산업과학기술연구소
7001211,충북대학교 과학교육연구소,과학교육연구소
7001213,충북대학교 약품자원개발연구소,약품자원개발연구소
7001220,한국교원대학교,한국교원대학교
7001221,한국교원대학교 교수부,교수부
7001222,한국교원대학교 교무처,교무처
7001223,한국교원대학교 교무처 교무과,교무과
7001226,한국교원대학교 학생처,학생처
7001230,한국교원대학교 기획연구실,기획연구실
7001231,한국교원대학교 기획연구실 기획담당관,기획담당관
7001232,한국교원대학교 기획연구실 연구지원담당관,연구지원담당관
7001233,한국교원대학교 사무국,사무국
7001234,한국교원대학교 사무국 총무과,총무과
7001237,한국교원대학교 건설사무소,건설사무소
7001238,한국교원대학교 건설사무소 건설행정과,건설행정과
7001239,한국교원대학교 건설사무소 건축과,건축과
7001240,한국교원대학교 건설사무소 설비과,설비과
7001241,한국교원대학교 제1대학,제1대학
7001242,한국교원대학교 제2대학,제2대학
7001243,한국교원대학교 제3대학,제3대학
7001244,한국교원대학교 제4대학,제4대학
7001245,한국교원대학교 대학원,대학원
7001246,한국교원대학교 연구소,연구소
7001247,한국교원대학교 도서관,도서관
7001251,한국교원대학교 박물관,박물관
7001259,한국교원대학교 교원연수원,교원연수원
7001260,한국교원대학교 교육연구원,교육연구원
7001263,한국체육대학교,한국체육대학교
7001267,한국체육대학교 훈련과,훈련과
7001269,한국체육대학교 사회체육대학원,사회체육대학원
7001273,한국체육대학교 생활관,생활관
7001276,한국체육대학교 체육과학연구소,체육과학연구소
7001278,한국해양대학교,한국해양대학교
7001279,한국해양대학교 교무처,교무처
7001280,한국해양대학교 교무처 교무과,교무과
7001283,한국해양대학교 학생처,학생처
7001290,한국해양대학교 사무국,사무국
7001291,한국해양대학교 사무국 총무과,총무과
7001293,한국해양대학교 사무국 시설과,시설과
7001299,한국해양대학교 해사대학,해사대학
7001302,한국해양대학교 해사대학 승선생활관,승선생활관
7001304,한국해양대학교 대학원,대학원
7001306,한국해양대학교 해사산업대학원,해사산업대학원
7001307,한국해양대학교 도서관,도서관
7001311,한국해양대학교 박물관,박물관
7001316,서울시립대학교,서울시립대학교
7001317,서울시립대학교 경상대학,경상대학
7001318,서울시립대학교 공과대학,공과대학
7001319,서울시립대학교 문리과대학,문리과대학
7001320,서울시립대학교 법정대학,법정대학
7001321,서울시립대학교 대학원,대학원
7001322,서울시립대학교 경영행정대학원,경영행정대학원
7001323,서울시립대학교 도시행정대학원,도시행정대학원
7001324,서울시립대학교 산업대학원,산업대학원
7001325,서울시립대학교 연구소,연구소
7001336,가야대학교,가야대학교
7001337,가톨릭대학교,가톨릭대학교
7001338,가톨릭대학교 신학대학,신학대학
7001339,가톨릭대학교 의과대학,의과대학
7001340,가톨릭대학교 산업보건대학원,산업보건대학원
7001341,감리교신학대학교,감리교신학대학교
7001342,감리교신학대학교 신학대학원,신학대학원
7001343,강남대학교,강남대학교
7001344,강남대학교 경상학부,경상학부
7001345,강남대학교 사회과학대학,사회과학대학
7001346,강남대학교 사회과학부,사회과학부
7001347,강남대학교 상경대학,상경대학
7001348,강남대학교 신학대학,신학대학
7001349,강남대학교 예.체능대학,예.체능대학
7001350,강남대학교 예체능학부,예체능학부
7001351,강남대학교 이공대학,이공대학
7001352,강남대학교 이공학부,이공학부
7001353,강남대학교 인문대학,인문대학
7001354,강남대학교 인문학부,인문학부
7001355,건국대학교,건국대학교
7001356,건국대학교 가정대학,가정대학
7001357,건국대학교 경영대학,경영대학
7001358,건국대학교 공과대학,공과대학
7001359,건국대학교 농과대학,농과대학
7001360,건국대학교 문과대학,문과대학
7001361,건국대학교 문리과대학,문리과대학
7001362,건국대학교 법과대학,법과대학
7001363,건국대학교 사범대학,사범대학
7001364,건국대학교 사회과학대학,사회과학대학
7001365,건국대학교 상경대학,상경대학
7001366,건국대학교 생활문화대학,생활문화대학
7001367,건국대학교 예술대학,예술대학
7001368,건국대학교 의과대학,의과대학
7001369,건국대학교 이과대학,이과대학
7001370,건국대학교 인문과학대학,인문과학대학
7001371,건국대학교 자연과학대학,자연과학대학
7001372,건국대학교 정법대학,정법대학
7001373,건국대학교 정치대학,정치대학
7001374,건국대학교 축산대학,축산대학
7001375,건국대학교 대학원,대학원
7001376,건국대학교 경영대학원,경영대학원
7001377,건국대학교 교육대학원,교육대학원
7001378,건국대학교 농축개발대학원,농축개발대학원
7001379,건국대학교 산업대학원,산업대학원
7001380,건국대학교 지역개발대학원,지역개발대학원
7001381,건국대학교 행정대학원,행정대학원
7001382,건국대학교 연구소,연구소
7001383,건양대학교,건양대학교
7001384,건양대학교 경상학부,경상학부
7001385,건양대학교 공학부,공학부
7001386,건양대학교 이학부,이학부
7001387,건양대학교 인문학부,인문학부
7001388,경기대학교,경기대학교
7001389,경기대학교 경상대학,경상대학
7001390,경기대학교 공과대학,공과대학
7001391,경기대학교 관광대학,관광대학
7001392,경기대학교 법정대학,법정대학
7001393,경기대학교 예체능대학,예체능대학
7001394,경기대학교 이과대학,이과대학
7001395,경기대학교 인문대학,인문대학
7001396,경기대학교 대학원,대학원
7001397,경기대학교 경영대학원,경영대학원
7001398,경기대학교 경영행정대학원,경영행정대학원
7001399,경기대학교 교육대학원,교육대학원
7001400,경기대학교 행정대학원,행정대학원
7001401,경기대학교 연구소,연구소
7001402,경남대학교,경남대학교
7001403,경남대학교 경상대학,경상대학
7001404,경남대학교 공과대학,공과대학
7001405,경남대학교 문과대학,문과대학
7001406,경남대학교 문리과대학,문리과대학
7001407,경남대학교 법정대학,법정대학
7001408,경남대학교 사범대학,사범대학
7001409,경남대학교 이과대학,이과대학
7001410,경남대학교 자연과학대학,자연과학대학
7001411,경남대학교 대학원,대학원
7001412,경남대학교 경영대학원,경영대학원
7001413,경남대학교 교육대학원,교육대학원
7001414,경남대학교 산업대학원,산업대학원
7001415,경남대학교 행정대학원,행정대학원
7001416,경남대학교 연구소,연구소
7001418,경성대학교,경성대학교
7001452,경주대학교,경주대학교
7001453,경희대학교,경희대학교
7001454,경희대학교 가정대학,가정대학
7001455,경희대학교 공과대학,공과대학
7001456,경희대학교 문리과대학,문리과대학
7001457,경희대학교 문리대학,문리대학
7001458,경희대학교 법과대학,법과대학
7001459,경희대학교 사범대학,사범대학
7001460,경희대학교 사회과학대학,사회과학대학
7001461,경희대학교 산업대학,산업대학
7001462,경희대학교 약학대학,약학대학
7001463,경희대학교 외국어대학,외국어대학
7001464,경희대학교 음악대학,음악대학
7001465,경희대학교 의과대학,의과대학
7001466,경희대학교 자연과학대학,자연과학대학
7001467,경희대학교 정경대학,정경대학
7001468,경희대학교 체육과학대학,체육과학대학
7001469,경희대학교 체육대학,체육대학
7001470,경희대학교 치과대학,치과대학
7001471,경희대학교 한의과대학,한의과대학
7001472,경희대학교 대학원,대학원
7001473,경희대학교 경영대학원,경영대학원
7001474,경희대학교 경영행정대학원,경영행정대학원
7001475,경희대학교 교육대학원,교육대학원
7001476,경희대학교 산업정보대학원,산업정보대학원
7001477,경희대학교 신문방송대학원,신문방송대학원
7001478,경희대학교 평화복지대학원,평화복지대학원
7001479,경희대학교 행정대학원,행정대학원
7001480,경희대학교 연구소,연구소
7001481,계명대학교,계명대학교
7001482,계명대학교 가정대학,가정대학
7001483,계명대학교 간호대학,간호대학
7001484,계명대학교 경영대학,경영대학
7001485,계명대학교 공과대학,공과대학
7001486,계명대학교 문과대학,문과대학
7001487,계명대학교 미술대학,미술대학
7001488,계명대학교 법과대학,법과대학
7001489,계명대학교 사범대학,사범대학
7001490,계명대학교 사회과학대학,사회과학대학
7001491,계명대학교 외국학대학,외국학대학
7001492,계명대학교 음악대학,음악대학
7001493,계명대학교 의과대학,의과대학
7001494,계명대학교 이공대학,이공대학
7001495,계명대학교 인문과학대학,인문과학대학
7001496,계명대학교 자연과학대학,자연과학대학
7001497,계명대학교 체육대학,체육대학
7001498,계명대학교 대학원,대학원
7001499,계명대학교 교육대학원,교육대학원
7001500,계명대학교 무역대학원,무역대학원
7001501,계명대학교 여성학대학원,여성학대학원
7001502,계명대학교 정책개발대학원,정책개발대학원
7001503,계명대학교 연구소,연구소
7001504,고려대학교,고려대학교
7001533,고신대학교,고신대학교
7001534,관동대학교,관동대학교
7001535,관동대학교 경상대학,경상대학
7001536,관동대학교 교육과학대학,교육과학대학
7001537,관동대학교 문과대학,문과대학
7001538,관동대학교 법정대학,법정대학
7001539,관동대학교 사범대학,사범대학
7001540,관동대학교 예술대학,예술대학
7001541,관동대학교 이공대학,이공대학
7001542,관동대학교 대학원,대학원
7001543,관동대학교 경영행정대학원,경영행정대학원
7001544,관동대학교 교육대학원,교육대학원
7001545,관동대학교 연구소,연구소
7001546,광운대학교,광운대학교
7001547,광운대학교 공과대학,공과대학
7001548,광운대학교 이과대학,이과대학
7001549,광운대학교 인문사회과학대학,인문사회과학대학
7001550,광운대학교 대학원,대학원
7001551,광운대학교 경영대학원,경영대학원
7001552,광운대학교 산업정보대학원,산업정보대학원
7001553,광운대학교 전산대학원,전산대학원
7001554,광운대학교 연구소,연구소
7001555,광주가톨릭대학교,광주가톨릭대학교
7001556,국민대학교,국민대학교
7001557,국민대학교 경상대학,경상대학
7001558,국민대학교 공과대학,공과대학
7001559,국민대학교 문과대학,문과대학
7001560,국민대학교 법과대학,법과대학
7001561,국민대학교 법정대학,법정대학
7001562,국민대학교 사범대학,사범대학
7001563,국민대학교 사회과학대학,사회과학대학
7001564,국민대학교 임과대학,임과대학
7001565,국민대학교 임업대학,임업대학
7001566,국민대학교 자연과학대학,자연과학대학
7001567,국민대학교 조형대학,조형대학
7001568,국민대학교 대학원,대학원
7001569,국민대학교 경영대학원,경영대학원
7001570,국민대학교 교육대학원,교육대학원
7001571,국민대학교 행정대학원,행정대학원
7001572,국민대학교 연구소,연구소
7001575,단국대학교,단국대학교
7001576,단국대학교 경상대학,경상대학
7001577,단국대학교 공과대학,공과대학
7001578,단국대학교 공학대학,공학대학
7001579,단국대학교 농과대학,농과대학
7001580,단국대학교 문과대학,문과대학
7001581,단국대학교 문리과대학,문리과대학
7001582,단국대학교 법과대학,법과대학
7001583,단국대학교 법정대학,법정대학
7001584,단국대학교 법학대학,법학대학
7001585,단국대학교 사범대학,사범대학
7001586,단국대학교 사회과학대학,사회과학대학
7001587,단국대학교 상경대학,상경대학
7001588,단국대학교 예술대학,예술대학
7001589,단국대학교 음악대학,음악대학
7001590,단국대학교 의과대학,의과대학
7001591,단국대학교 이공대학,이공대학
7001592,단국대학교 이과대학,이과대학
7001593,단국대학교 인문과학대학,인문과학대학
7001594,단국대학교 자연과학대학,자연과학대학
7001595,단국대학교 정경대학,정경대학
7001596,단국대학교 체육대학,체육대학
7001597,단국대학교 치과대학,치과대학
7001598,단국대학교 대학원,대학원
7001599,단국대학교 경영대학원,경영대학원
7001600,단국대학교 교육대학원,교육대학원
7001601,단국대학교 산업노사대학원,산업노사대학원
7001602,단국대학교 행정대학원,행정대학원
7001603,단국대학교 연구소,연구소
7001604,대구가톨릭대학교,대구가톨릭대학교
7001605,대구가톨릭대학교 신학대학,신학대학
7001606,대구가톨릭대학교 의과대학,의과대학
7001607,대구대학교,대구대학교
7001608,대구대학교 가정대학,가정대학
7001609,대구대학교 경상대학,경상대학
7001610,대구대학교 공과대학,공과대학
7001611,대구대학교 농과대학,농과대학
7001612,대구대학교 미술대학,미술대학
7001613,대구대학교 법과대학,법과대학
7001614,대구대학교 법정대학,법정대학
7001615,대구대학교 사범대학,사범대학
7001616,대구대학교 사회과학대학,사회과학대학
7001617,대구대학교 이공대학,이공대학
7001618,대구대학교 인문대학,인문대학
7001619,대구대학교 자연과학대학,자연과학대학
7001620,대구대학교 재활과학대학,재활과학대학
7001621,대구대학교 행정대학,행정대학
7001622,대구대학교 대학원,대학원
7001623,대구대학교 교육대학원,교육대학원
7001624,대구대학교 사회개발대학원,사회개발대학원
7001625,대구대학교 산업정보대학원,산업정보대학원
7001626,대구대학교 연구소,연구소
7001628,대신대학교,대신대학교
7001629,대신대학교 사회과학부,사회과학부
7001630,대신대학교 예체능학부,예체능학부
7001631,대신대학교 이학부,이학부
7001632,대신대학교 인문학부,인문학부
7001633,대신대학교 자연과학부,자연과학부
7001635,대전대학교,대전대학교
7001636,대전대학교 공과대학,공과대학
7001637,대전대학교 문과대학,문과대학
7001638,대전대학교 법경대학,법경대학
7001639,대전대학교 이과대학,이과대학
7001640,대전대학교 한의과대학,한의과대학
7001641,대전대학교 대학원,대학원
7001642,대전대학교 경영행정대학원,경영행정대학원
7001643,대전대학교 연구소,연구소
7001644,대진대학교,대진대학교
7001645,대진대학교 경상학부,경상학부
7001646,대진대학교 공학부,공학부
7001647,대진대학교 법정학부,법정학부
7001648,대진대학교 이학부,이학부
7001649,대진대학교 인문학부,인문학부
7001651,덕성여자대학교,덕성여자대학교
7001652,덕성여자대학교 사회과학대학,사회과학대학
7001653,덕성여자대학교 약학대학,약학대학
7001654,덕성여자대학교 예술대학,예술대학
7001655,덕성여자대학교 인문과학대학,인문과학대학
7001656,덕성여자대학교 자연과학대학,자연과학대학
7001657,덕성여자대학교 대학원,대학원
7001658,덕성여자대학교 연구소,연구소
7001659,동국대학교,동국대학교
7001660,동국대학교 경상대학,경상대학
7001661,동국대학교 공과대학,공과대학
7001662,동국대학교 농과대학,농과대학
7001663,동국대학교 문과대학,문과대학
7001664,동국대학교 문리과대학,문리과대학
7001665,동국대학교 법경대학,법경대학
7001666,동국대학교 법과대학,법과대학
7001667,동국대학교 법정대학,법정대학
7001668,동국대학교 불교대학,불교대학
